,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Time,Latitude,Longitude,Attenuation,Preamp 1,Preamp 2,DNC Preamp,Carrier No/Index,Center Frequency (MHz),Technology (5G NR LTE FDD LTE TDD),Bandwidth,SSB SCS,SSB Center Frequency (MHZ),L,Cyclic Prefix,No,PCI,Group,Sector,SSB Index,DM-RS,PBCH,S-SS RSRP / RSRP (dBm),S-SS RSRQ / RSRQ (dB),P-SS SNR / P-SS SNR (dB),S-SS SINR / RS SINR (dB),P-SS RSRP / P-SS RSRP (dBm),S-SS RSSI / S-SS RSSI (dBm),/ S-SS RSRP (dBm),/ S-SS Ec/Io (dB),Time Error (us),PBCH DM-RS RSRP (dBm) /,PBCH DM-RS EVM (%) /,VIAVI Solutions;ONA-800;WMTK0002920146;2.210.0003r<Mode>; NSA Signal Analyzer / NSA Route Map
0,0,0,0,"Friday, June 16, 2023",04:19:04.663 PM CEST,48.120049,-1.629628,0,On,Off,Off,1|0,3530.01,5G NR,80,30.0,3529.92,8,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
1,1,1,1,"Friday, June 16, 2023",04:19:05.667 PM CEST,48.1200495,-1.629627,0,On,Off,Off,1|1,3530.01,5G NR,80,30.0,3529.92,8,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
2,2,2,2,"Friday, June 16, 2023",04:19:06.663 PM CEST,48.12005,-1.6296257,0,On,Off,Off,1|2,3530.01,5G NR,80,30.0,3529.92,8,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
3,3,3,3,"Friday, June 16, 2023",04:19:07.715 PM CEST,48.1200502,-1.6296247,0,On,Off,Off,1|3,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-105.53,-12.04,14.82,4.56,-105.56,-84.49,--,--,500.81,-104.37,143.23,
4,4,4,4,"Friday, June 16, 2023",04:19:07.715 PM CEST,48.1200502,-1.6296247,0,On,Off,Off,1|3,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-113.05,-15.59,10.12,4.88,-112.30,-92.01,--,--,500.00,-107.68,231.54,
5,5,5,5,"Friday, June 16, 2023",04:19:07.715 PM CEST,48.1200502,-1.6296247,0,On,Off,Off,1|3,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,2,2,--,-115.45,-17.65,9.39,4.19,-114.93,-94.41,--,--,286.74,-108.20,174.80,
6,6,6,6,"Friday, June 16, 2023",04:19:07.715 PM CEST,48.1200502,-1.6296247,0,On,Off,Off,1|3,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-116.39,-14.97,6.07,4.15,-116.20,-95.35,--,--,0.81,-112.11,194.68,
7,7,7,7,"Friday, June 16, 2023",04:19:09.096 PM CEST,48.12005,-1.6296243,0,On,Off,Off,1|4,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-105.53,-12.04,14.82,4.56,-105.56,-84.49,--,--,500.81,-104.37,143.23,
8,8,8,8,"Friday, June 16, 2023",04:19:09.096 PM CEST,48.12005,-1.6296243,0,On,Off,Off,1|4,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-113.05,-15.59,10.12,4.88,-112.30,-92.01,--,--,500.00,-107.68,231.54,
9,9,9,9,"Friday, June 16, 2023",04:19:09.096 PM CEST,48.12005,-1.6296243,0,On,Off,Off,1|4,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,2,2,--,-115.45,-17.65,9.39,4.19,-114.93,-94.41,--,--,286.74,-108.20,174.80,
10,10,10,10,"Friday, June 16, 2023",04:19:09.096 PM CEST,48.12005,-1.6296243,0,On,Off,Off,1|4,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-116.39,-14.97,6.07,4.15,-116.20,-95.35,--,--,0.81,-112.11,194.68,
11,11,11,11,"Friday, June 16, 2023",04:19:09.673 PM CEST,48.1200493,-1.6296253,0,On,Off,Off,1|5,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-105.53,-12.04,14.82,4.56,-105.56,-84.49,--,--,500.81,-104.37,143.23,
12,12,12,12,"Friday, June 16, 2023",04:19:09.673 PM CEST,48.1200493,-1.6296253,0,On,Off,Off,1|5,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-113.05,-15.59,10.12,4.88,-112.30,-92.01,--,--,500.00,-107.68,231.54,
13,13,13,13,"Friday, June 16, 2023",04:19:09.673 PM CEST,48.1200493,-1.6296253,0,On,Off,Off,1|5,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,2,2,--,-115.45,-17.65,9.39,4.19,-114.93,-94.41,--,--,286.74,-108.20,174.80,
14,14,14,14,"Friday, June 16, 2023",04:19:09.673 PM CEST,48.1200493,-1.6296253,0,On,Off,Off,1|5,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-116.39,-14.97,6.07,4.15,-116.20,-95.35,--,--,0.81,-112.11,194.68,
15,15,15,15,"Friday, June 16, 2023",04:19:10.661 PM CEST,48.120049,-1.6296255,0,On,Off,Off,1|6,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-105.53,-12.04,14.82,4.56,-105.56,-84.49,--,--,500.81,-104.37,143.23,
16,16,16,16,"Friday, June 16, 2023",04:19:10.661 PM CEST,48.120049,-1.6296255,0,On,Off,Off,1|6,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-113.05,-15.59,10.12,4.88,-112.30,-92.01,--,--,500.00,-107.68,231.54,
17,17,17,17,"Friday, June 16, 2023",04:19:10.661 PM CEST,48.120049,-1.6296255,0,On,Off,Off,1|6,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,2,2,--,-115.45,-17.65,9.39,4.19,-114.93,-94.41,--,--,286.74,-108.20,174.80,
18,18,18,18,"Friday, June 16, 2023",04:19:10.661 PM CEST,48.120049,-1.6296255,0,On,Off,Off,1|6,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-116.39,-14.97,6.07,4.15,-116.20,-95.35,--,--,0.81,-112.11,194.68,
19,19,19,19,"Friday, June 16, 2023",04:19:11.662 PM CEST,48.1200488,-1.6296255,0,On,Off,Off,1|7,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-101.38,-11.04,17.72,8.23,-101.38,-80.35,--,--,501.17,-100.39,47.65,
20,20,20,20,"Friday, June 16, 2023",04:19:11.662 PM CEST,48.1200488,-1.6296255,0,On,Off,Off,1|7,3530.01,5G NR,80,30.0,3529.92,8,--,1,82,27,1,2,2,--,-109.99,-14.18,12.77,3.08,-109.46,-88.95,--,--,287.11,-106.29,180.60,
21,21,21,21,"Friday, June 16, 2023",04:19:11.662 PM CEST,48.1200488,-1.6296255,0,On,Off,Off,1|7,3530.01,5G NR,80,30.0,3529.92,8,--,2,81,27,0,2,2,--,-111.32,-15.50,12.77,3.09,-111.09,-90.28,--,--,500.39,-106.09,127.39,
22,22,22,22,"Friday, June 16, 2023",04:19:11.662 PM CEST,48.1200488,-1.6296255,0,On,Off,Off,1|7,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-114.95,-13.80,5.92,4.07,-114.51,-93.91,--,--,1.17,-111.95,276.07,
23,23,23,23,"Friday, June 16, 2023",04:19:11.662 PM CEST,48.1200488,-1.6296255,0,On,Off,Off,1|7,3530.01,5G NR,80,30.0,3529.92,8,--,4,81,27,0,0,0,--,-116.36,-17.50,8.55,3.82,-115.22,-95.32,--,--,0.39,-109.58,258.67,
24,24,24,24,"Friday, June 16, 2023",04:19:12.662 PM CEST,48.1200485,-1.6296255,0,On,Off,Off,1|8,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-101.38,-11.04,17.72,8.23,-101.38,-80.35,--,--,501.17,-100.39,47.65,
25,25,25,25,"Friday, June 16, 2023",04:19:12.662 PM CEST,48.1200485,-1.6296255,0,On,Off,Off,1|8,3530.01,5G NR,80,30.0,3529.92,8,--,1,82,27,1,2,2,--,-109.99,-14.18,12.77,3.08,-109.46,-88.95,--,--,287.11,-106.29,180.60,
26,26,26,26,"Friday, June 16, 2023",04:19:12.662 PM CEST,48.1200485,-1.6296255,0,On,Off,Off,1|8,3530.01,5G NR,80,30.0,3529.92,8,--,2,81,27,0,2,2,--,-111.32,-15.50,12.77,3.09,-111.09,-90.28,--,--,500.39,-106.09,127.39,
27,27,27,27,"Friday, June 16, 2023",04:19:12.662 PM CEST,48.1200485,-1.6296255,0,On,Off,Off,1|8,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-114.95,-13.80,5.92,4.07,-114.51,-93.91,--,--,1.17,-111.95,276.07,
28,28,28,28,"Friday, June 16, 2023",04:19:12.662 PM CEST,48.1200485,-1.6296255,0,On,Off,Off,1|8,3530.01,5G NR,80,30.0,3529.92,8,--,4,81,27,0,0,0,--,-116.36,-17.50,8.55,3.82,-115.22,-95.32,--,--,0.39,-109.58,258.67,
29,29,29,29,"Friday, June 16, 2023",04:19:13.662 PM CEST,48.1200478,-1.6296262,0,On,Off,Off,1|9,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-113.32,-16.94,9.54,2.32,-113.95,-92.28,--,--,502.51,-107.06,111.34,
30,30,30,30,"Friday, June 16, 2023",04:19:13.662 PM CEST,48.1200478,-1.6296262,0,On,Off,Off,1|9,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,3,3,--,-114.77,-18.49,9.99,2.96,-115.45,-93.73,--,--,715.80,-106.81,130.12,
31,31,31,31,"Friday, June 16, 2023",04:19:13.662 PM CEST,48.1200478,-1.6296262,0,On,Off,Off,1|9,3530.01,5G NR,80,30.0,3529.92,8,--,2,81,27,0,2,2,--,-115.45,-17.30,7.99,2.61,-113.82,-94.41,--,--,501.74,-108.63,242.39,
32,32,32,32,"Friday, June 16, 2023",04:19:13.662 PM CEST,48.1200478,-1.6296262,0,On,Off,Off,1|9,3530.01,5G NR,80,30.0,3529.92,8,--,3,153,51,0,2,2,--,-116.62,-18.66,7.62,2.40,-114.49,-95.58,--,--,288.46,-108.91,196.95,
33,33,33,33,"Friday, June 16, 2023",04:19:13.662 PM CEST,48.1200478,-1.6296262,0,On,Off,Off,1|9,3530.01,5G NR,80,30.0,3529.92,8,--,4,81,27,0,0,0,--,-118.88,-19.31,7.08,3.63,-118.49,-97.84,--,--,1.74,-110.01,157.69,
34,34,34,34,"Friday, June 16, 2023",04:19:13.662 PM CEST,48.1200478,-1.6296262,0,On,Off,Off,1|9,3530.01,5G NR,80,30.0,3529.92,8,--,5,82,27,1,1,1,--,-124.53,-21.12,3.17,3.68,-123.87,-103.49,--,--,2.51,-113.76,343.95,
35,35,35,35,"Friday, June 16, 2023",04:19:14.663 PM CEST,48.120047,-1.6296273,0,On,Off,Off,1|10,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-106.05,-12.87,12.98,3.44,-106.42,-85.01,--,--,503.17,-103.73,133.86,
36,36,36,36,"Friday, June 16, 2023",04:19:14.663 PM CEST,48.120047,-1.6296273,0,On,Off,Off,1|10,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-112.68,-14.89,8.10,3.21,-112.78,-91.65,--,--,502.41,-108.14,169.24,
37,37,37,37,"Friday, June 16, 2023",04:19:14.663 PM CEST,48.120047,-1.6296273,0,On,Off,Off,1|10,3530.01,5G NR,80,30.0,3529.92,8,--,2,81,27,0,3,3,--,-113.92,-20.74,12.97,3.44,-115.02,-92.88,--,--,716.47,-103.92,108.24,
38,38,38,38,"Friday, June 16, 2023",04:19:14.663 PM CEST,48.120047,-1.6296273,0,On,Off,Off,1|10,3530.01,5G NR,80,30.0,3529.92,8,--,3,81,27,0,0,0,--,-115.92,-16.84,7.16,3.04,-118.09,-94.88,--,--,2.41,-110.95,110.49,
39,39,39,39,"Friday, June 16, 2023",04:19:14.663 PM CEST,48.120047,-1.6296273,0,On,Off,Off,1|10,3530.01,5G NR,80,30.0,3529.92,8,--,4,82,27,1,2,2,--,-116.50,-18.71,8.06,3.23,-116.04,-95.46,--,--,289.10,-108.93,128.53,
40,40,40,40,"Friday, June 16, 2023",04:19:14.663 PM CEST,48.120047,-1.6296273,0,On,Off,Off,1|10,3530.01,5G NR,80,30.0,3529.92,8,--,5,235,78,1,0,0,--,-117.08,-17.87,4.92,3.59,-116.41,-96.04,--,--,3.18,-110.22,178.68,
41,41,41,41,"Friday, June 16, 2023",04:19:14.663 PM CEST,48.120047,-1.6296273,0,On,Off,Off,1|10,3530.01,5G NR,80,30.0,3529.92,8,--,6,82,27,1,1,1,--,-119.73,-17.36,4.90,3.26,-119.35,-98.69,--,--,3.17,-112.95,271.86,
42,42,42,42,"Friday, June 16, 2023",04:19:15.664 PM CEST,48.1200467,-1.6296277,0,On,Off,Off,1|11,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-108.45,-12.42,11.81,4.84,-108.34,-87.41,--,--,503.71,-106.81,177.38,
43,43,43,43,"Friday, June 16, 2023",04:19:15.664 PM CEST,48.1200467,-1.6296277,0,On,Off,Off,1|11,3530.01,5G NR,80,30.0,3529.92,8,--,1,153,51,0,2,2,--,-113.66,-14.86,8.17,4.04,-113.21,-92.63,--,--,289.66,-109.41,309.22,
44,44,44,44,"Friday, June 16, 2023",04:19:15.664 PM CEST,48.1200467,-1.6296277,0,On,Off,Off,1|11,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,2,2,--,-115.66,-17.28,9.72,4.39,-118.33,-94.62,--,--,289.65,-108.99,117.51,
45,45,45,45,"Friday, June 16, 2023",04:19:15.664 PM CEST,48.1200467,-1.6296277,0,On,Off,Off,1|11,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-120.06,-16.95,4.78,3.44,-119.95,-99.02,--,--,3.71,-113.95,165.96,
46,46,46,46,"Friday, June 16, 2023",04:19:15.664 PM CEST,48.1200467,-1.6296277,0,On,Off,Off,1|11,3530.01,5G NR,80,30.0,3529.92,8,--,4,153,51,0,1,1,--,-122.07,-19.02,3.98,3.26,-122.50,-101.04,--,--,3.73,-114.13,142.16,
47,47,47,47,"Friday, June 16, 2023",04:19:16.664 PM CEST,48.1200463,-1.6296273,0,On,Off,Off,1|12,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-105.95,-13.06,14.04,4.99,-106.08,-84.91,--,--,504.02,-103.27,85.85,
48,48,48,48,"Friday, June 16, 2023",04:19:16.664 PM CEST,48.1200463,-1.6296273,0,On,Off,Off,1|12,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-110.19,-14.44,11.17,5.64,-110.62,-89.15,--,--,503.27,-106.76,90.29,
49,49,49,49,"Friday, June 16, 2023",04:19:16.664 PM CEST,48.1200463,-1.6296273,0,On,Off,Off,1|12,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,2,2,--,-112.82,-17.08,11.19,5.67,-114.60,-91.78,--,--,289.96,-106.55,119.12,
50,50,50,50,"Friday, June 16, 2023",04:19:16.664 PM CEST,48.1200463,-1.6296273,0,On,Off,Off,1|12,3530.01,5G NR,80,30.0,3529.92,8,--,3,81,27,0,0,0,--,-113.46,-15.06,8.07,3.23,-114.55,-92.42,--,--,3.27,-110.31,258.06,
51,51,51,51,"Friday, June 16, 2023",04:19:16.664 PM CEST,48.1200463,-1.6296273,0,On,Off,Off,1|12,3530.01,5G NR,80,30.0,3529.92,8,--,4,81,27,0,3,3,--,-114.45,-21.57,14.10,4.99,-113.10,-93.42,--,--,717.33,-102.58,89.67,
52,52,52,52,"Friday, June 16, 2023",04:19:16.664 PM CEST,48.1200463,-1.6296273,0,On,Off,Off,1|12,3530.01,5G NR,80,30.0,3529.92,8,--,5,82,27,1,1,1,--,-120.28,-17.55,5.38,4.11,-120.33,-99.25,--,--,4.02,-113.48,380.34,
53,53,53,53,"Friday, June 16, 2023",04:19:17.663 PM CEST,48.1200462,-1.6296265,0,On,Off,Off,1|13,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-105.95,-13.06,14.04,4.99,-106.08,-84.91,--,--,504.02,-103.27,85.85,
54,54,54,54,"Friday, June 16, 2023",04:19:17.663 PM CEST,48.1200462,-1.6296265,0,On,Off,Off,1|13,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-110.19,-14.44,11.17,5.64,-110.62,-89.15,--,--,503.27,-106.76,90.29,
55,55,55,55,"Friday, June 16, 2023",04:19:17.663 PM CEST,48.1200462,-1.6296265,0,On,Off,Off,1|13,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,2,2,--,-112.82,-17.08,11.19,5.67,-114.60,-91.78,--,--,289.96,-106.55,119.12,
56,56,56,56,"Friday, June 16, 2023",04:19:17.663 PM CEST,48.1200462,-1.6296265,0,On,Off,Off,1|13,3530.01,5G NR,80,30.0,3529.92,8,--,3,81,27,0,0,0,--,-113.46,-15.06,8.07,3.23,-114.55,-92.42,--,--,3.27,-110.31,258.06,
57,57,57,57,"Friday, June 16, 2023",04:19:17.663 PM CEST,48.1200462,-1.6296265,0,On,Off,Off,1|13,3530.01,5G NR,80,30.0,3529.92,8,--,4,81,27,0,3,3,--,-114.45,-21.57,14.10,4.99,-113.10,-93.42,--,--,717.33,-102.58,89.67,
58,58,58,58,"Friday, June 16, 2023",04:19:17.663 PM CEST,48.1200462,-1.6296265,0,On,Off,Off,1|13,3530.01,5G NR,80,30.0,3529.92,8,--,5,82,27,1,1,1,--,-120.28,-17.55,5.38,4.11,-120.33,-99.25,--,--,4.02,-113.48,380.34,
59,59,59,59,"Friday, June 16, 2023",04:19:18.662 PM CEST,48.1200458,-1.629627,0,On,Off,Off,1|14,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-102.30,-11.00,16.69,7.83,-102.33,-81.26,--,--,504.39,-101.92,67.33,
60,60,60,60,"Friday, June 16, 2023",04:19:18.662 PM CEST,48.1200458,-1.629627,0,On,Off,Off,1|14,3530.01,5G NR,80,30.0,3529.92,8,--,1,82,27,1,2,2,--,-111.59,-14.32,9.55,6.21,-112.24,-90.56,--,--,290.33,-107.07,137.62,
61,61,61,61,"Friday, June 16, 2023",04:19:18.662 PM CEST,48.1200458,-1.629627,0,On,Off,Off,1|14,3530.01,5G NR,80,30.0,3529.92,8,--,2,81,27,0,2,2,--,-113.75,-16.47,9.55,6.21,-114.13,-92.71,--,--,503.62,-107.66,264.49,
62,62,62,62,"Friday, June 16, 2023",04:19:18.662 PM CEST,48.1200458,-1.629627,0,On,Off,Off,1|14,3530.01,5G NR,80,30.0,3529.92,8,--,3,235,78,1,0,0,--,-114.22,-15.39,6.07,3.81,-113.54,-93.18,--,--,4.46,-109.91,152.50,
63,63,63,63,"Friday, June 16, 2023",04:19:18.662 PM CEST,48.1200458,-1.629627,0,On,Off,Off,1|14,3530.01,5G NR,80,30.0,3529.92,8,--,4,81,27,0,0,0,--,-116.65,-17.76,8.38,3.63,-118.37,-95.61,--,--,3.62,-109.72,201.62,
64,64,64,64,"Friday, June 16, 2023",04:19:18.662 PM CEST,48.1200458,-1.629627,0,On,Off,Off,1|14,3530.01,5G NR,80,30.0,3529.92,8,--,5,82,27,1,1,1,--,-118.47,-15.96,4.50,4.04,-118.30,-97.43,--,--,4.39,-113.57,171.71,
65,65,65,65,"Friday, June 16, 2023",04:19:19.663 PM CEST,48.1200455,-1.6296277,0,On,Off,Off,1|15,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-106.38,-12.71,13.49,6.52,-106.54,-85.34,--,--,505.00,-104.17,92.02,
66,66,66,66,"Friday, June 16, 2023",04:19:19.663 PM CEST,48.1200455,-1.6296277,0,On,Off,Off,1|15,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,2,2,--,-111.71,-13.97,9.44,5.37,-111.32,-90.67,--,--,504.24,-108.04,116.96,
67,67,67,67,"Friday, June 16, 2023",04:19:19.663 PM CEST,48.1200455,-1.6296277,0,On,Off,Off,1|15,3530.01,5G NR,80,30.0,3529.92,8,--,2,81,27,0,3,3,--,-112.26,-18.23,11.95,5.84,-112.82,-91.22,--,--,718.30,-104.54,196.81,
68,68,68,68,"Friday, June 16, 2023",04:19:19.663 PM CEST,48.1200455,-1.6296277,0,On,Off,Off,1|15,3530.01,5G NR,80,30.0,3529.92,8,--,3,81,27,0,0,0,--,-115.37,-16.51,8.17,3.26,-115.70,-94.33,--,--,4.24,-110.48,159.53,
69,69,69,69,"Friday, June 16, 2023",04:19:19.663 PM CEST,48.1200455,-1.6296277,0,On,Off,Off,1|15,3530.01,5G NR,80,30.0,3529.92,8,--,4,235,78,1,0,0,--,-115.63,-16.61,5.00,4.40,-115.59,-94.59,--,--,5.05,-109.34,137.38,
70,70,70,70,"Friday, June 16, 2023",04:19:19.663 PM CEST,48.1200455,-1.6296277,0,On,Off,Off,1|15,3530.01,5G NR,80,30.0,3529.92,8,--,5,82,27,1,2,2,--,-116.29,-18.54,9.88,5.01,-115.51,-95.25,--,--,290.93,-108.38,388.93,
71,71,71,71,"Friday, June 16, 2023",04:19:19.663 PM CEST,48.1200455,-1.6296277,0,On,Off,Off,1|15,3530.01,5G NR,80,30.0,3529.92,8,--,6,82,27,1,1,1,--,-119.64,-17.03,3.69,3.74,-122.87,-98.60,--,--,5.00,-113.46,205.41,
72,72,72,72,"Friday, June 16, 2023",04:19:20.688 PM CEST,48.1200455,-1.6296278,0,On,Off,Off,1|16,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-104.99,-11.32,13.91,6.55,-105.57,-83.96,--,--,505.65,-104.30,82.92,
73,73,73,73,"Friday, June 16, 2023",04:19:20.688 PM CEST,48.1200455,-1.6296278,0,On,Off,Off,1|16,3530.01,5G NR,80,30.0,3529.92,8,--,1,82,27,1,2,2,--,-115.23,-15.97,8.03,3.02,-114.16,-94.19,--,--,291.59,-109.62,209.84,
74,74,74,74,"Friday, June 16, 2023",04:19:20.688 PM CEST,48.1200455,-1.6296278,0,On,Off,Off,1|16,3530.01,5G NR,80,30.0,3529.92,8,--,2,235,78,1,0,0,--,-115.58,-16.23,6.51,4.18,-115.32,-94.55,--,--,5.82,-110.59,138.81,
75,75,75,75,"Friday, June 16, 2023",04:19:20.688 PM CEST,48.1200455,-1.6296278,0,On,Off,Off,1|16,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-117.51,-14.80,3.55,4.36,-122.02,-96.47,--,--,5.65,-113.65,149.06,
76,76,76,76,"Friday, June 16, 2023",04:19:20.688 PM CEST,48.1200455,-1.6296278,0,On,Off,Off,1|16,3530.01,5G NR,80,30.0,3529.92,8,--,4,153,51,0,2,2,--,-119.29,-20.14,6.69,3.74,-118.94,-98.25,--,--,291.67,-110.27,130.78,
77,77,77,77,"Friday, June 16, 2023",04:19:21.667 PM CEST,48.1200453,-1.6296277,0,On,Off,Off,1|17,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-104.99,-11.32,13.91,6.55,-105.57,-83.96,--,--,505.65,-104.30,82.92,
78,78,78,78,"Friday, June 16, 2023",04:19:21.667 PM CEST,48.1200453,-1.6296277,0,On,Off,Off,1|17,3530.01,5G NR,80,30.0,3529.92,8,--,1,82,27,1,2,2,--,-115.23,-15.97,8.03,3.02,-114.16,-94.19,--,--,291.59,-109.62,209.84,
79,79,79,79,"Friday, June 16, 2023",04:19:21.667 PM CEST,48.1200453,-1.6296277,0,On,Off,Off,1|17,3530.01,5G NR,80,30.0,3529.92,8,--,2,235,78,1,0,0,--,-115.58,-16.23,6.51,4.18,-115.32,-94.55,--,--,5.82,-110.59,138.81,
80,80,80,80,"Friday, June 16, 2023",04:19:21.667 PM CEST,48.1200453,-1.6296277,0,On,Off,Off,1|17,3530.01,5G NR,80,30.0,3529.92,8,--,3,82,27,1,1,1,--,-117.51,-14.80,3.55,4.36,-122.02,-96.47,--,--,5.65,-113.65,149.06,
81,81,81,81,"Friday, June 16, 2023",04:19:21.667 PM CEST,48.1200453,-1.6296277,0,On,Off,Off,1|17,3530.01,5G NR,80,30.0,3529.92,8,--,4,153,51,0,2,2,--,-119.29,-20.14,6.69,3.74,-118.94,-98.25,--,--,291.67,-110.27,130.78,
82,82,82,82,"Friday, June 16, 2023",04:19:23.665 PM CEST,48.1200452,-1.629627,0,On,Off,Off,1|18,3530.01,5G NR,80,30.0,3529.92,8,--,0,82,27,1,3,3,--,-104.61,-11.64,14.85,6.01,-104.95,-83.58,--,--,506.09,-103.71,145.55,
83,83,83,83,"Friday, June 16, 2023",04:19:23.665 PM CEST,48.1200452,-1.629627,0,On,Off,Off,1|18,3530.01,5G NR,80,30.0,3529.92,8,--,1,82,27,1,2,2,--,-112.66,-15.18,9.01,5.08,-114.65,-91.62,--,--,292.02,-107.83,347.96,
84,84,84,84,"Friday, June 16, 2023",04:19:23.665 PM CEST,48.1200452,-1.629627,0,On,Off,Off,1|18,3530.01,5G NR,80,30.0,3529.92,8,--,2,81,27,0,2,2,--,-113.26,-15.78,9.05,5.08,-112.78,-92.22,--,--,505.30,-108.53,88.58,
85,85,85,85,"Friday, June 16, 2023",04:19:23.665 PM CEST,48.1200452,-1.629627,0,On,Off,Off,1|18,3530.01,5G NR,80,30.0,3529.92,8,--,3,235,78,1,0,0,--,-115.46,-16.37,5.86,3.42,-114.26,-94.42,--,--,6.18,-109.97,113.68,
86,86,86,86,"Friday, June 16, 2023",04:19:23.665 PM CEST,48.1200452,-1.629627,0,On,Off,Off,1|18,3530.01,5G NR,80,30.0,3529.92,8,--,4,81,27,0,0,0,--,-115.62,-16.58,8.06,4.52,-115.55,-94.58,--,--,5.30,-109.51,123.78,
87,87,87,87,"Friday, June 16, 2023",04:19:23.665 PM CEST,48.1200452,-1.629627,0,On,Off,Off,1|18,3530.01,5G NR,80,30.0,3529.92,8,--,5,82,27,1,1,1,--,-117.27,-15.02,3.69,3.23,-118.99,-96.23,--,--,6.09,-113.75,107.81,
88,88,88,88,"Friday, June 16, 2023",04:19:24.662 PM CEST,48.1200447,-1.6296268,0,On,Off,Off,1|19,3530.01,5G NR,80,30.0,3529.92,8,--,0,81,27,0,2,2,--,-108.68,-12.76,11.56,5.30,-108.75,-87.64,--,--,506.21,-106.48,358.23,
89,89,89,89,"Friday, June 16, 2023",04:19:24.662 PM CEST,48.1200447,-1.6296268,0,On,Off,Off,1|19,3530.01,5G NR,80,30.0,3529.92,8,--,1,81,27,0,3,3,--,-110.65,-14.52,12.20,4.07,-110.72,-89.62,--,--,720.27,-106.61,124.61,
90,90,90,90,"Friday, June 16, 2023",04:19:24.662 PM CEST,48.1200447,-1.6296268,0,On,Off,Off,1|19,3530.01,5G NR,80,30.0,3529.92,8,--,2,82,27,1,3,3,--,-110.77,-14.67,12.20,4.06,-112.07,-89.73,--,--,507.26,-106.41,112.31,
91,91,91,91,"Friday, June 16, 2023",04:19:24.662 PM CEST,48.1200447,-1.6296268,0,On,Off,Off,1|19,3530.01,5G NR,80,30.0,3529.92,8,--,3,81,27,0,0,0,--,-113.22,-15.26,8.92,4.45,-113.98,-92.18,--,--,6.21,-108.81,102.22,
